gps_time,lax,lay,laz,avx,avy,avz,x,y,z,w
1429447990.56218,-0.359826962583326,-0.128878007453447,-9.99919034141898,-0.000986566767096519,-6.17122859694064e-05,0.000306168134557083,-0.00790724996477365,-0.0163422450423241,-0.677722036838531,0.73509407043457
1429447990.57218,-0.251482341464888,-0.104358127031848,-9.6550589240849,-0.00246537220664322,-0.000519700988661498,0.00248511135578156,-0.00790856592357159,-0.0163261741399765,-0.677711427211761,0.735104143619537
1429447990.58718,-0.329956286585145,-0.126970584663237,-9.9002728710711,-0.00151377904694527,-0.000767776335123926,0.00336526171304286,-0.00791544932872057,-0.0163197219371796,-0.677708506584167,0.735106885433197
1429447990.59218,-0.256352212523576,-0.10802583749285,-9.72139046812653,0.000681797449942678,-0.00398014765232801,0.00282874284312129,-0.00791720394045115,-0.0163306947797537,-0.677702069282532,0.735112607479095
1429447990.60218,-0.303302417208999,-0.131417855528835,-9.76772259571254,-5.24197093909606e-05,0.000647757493425161,0.00394055945798755,-0.00790743995457888,-0.0163188893347979,-0.677689135074615,0.735124826431274
1429447990.61718,-0.313834040356427,-0.133518590667751,-9.86702058981061,-2.36634623433929e-05,-0.00205980567261577,0.00151813577394933,-0.00791677087545395,-0.0163321308791637,-0.677692115306854,0.735121786594391
1429447990.62218,-0.325358072074689,-0.105306139338529,-9.68886942375004,0.000686882878653705,-0.00219102459959686,0.000557666004169732,-0.00791093241423368,-0.0163319054991007,-0.677695095539093,0.735119044780731
1429447990.63218,-0.386228099307418,-0.129741081423033,-9.98831472713947,5.96745776419993e-05,-0.00266832881607115,0.000405268598115072,-0.00792408548295498,-0.0163554083555937,-0.677712798118591,0.735102117061615
1429447990.64718,-0.300768112958409,-0.111143677252438,-9.63702291665673,-0.00106964493170381,-0.000474272237624973,0.00198986544273794,-0.00792179442942142,-0.0163489058613777,-0.677707433700562,0.735107183456421
1429447990.65218,-0.375793141467497,-0.160324928925559,-9.9935952978909,0.000860981526784599,-0.000415378948673606,0.000468864687718451,-0.0079129422083497,-0.0163664016872644,-0.677720844745636,0.735094547271729
